,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
1012388,670014,The Fighting Cheat,0.0,0,Released,1926-02-11,0,0,False,,0,,tt0016858,en,The Fighting Cheat,"A drifter befriends wounded outlaw Lafe Wells. Having promised to deliver a sack of gold to the man's family, Wales promptly falls for the daughter of the house.",0.933,,,Western,Action Pictures,United States of America,,
930715,503584,Eaux profondes,0.0,0,Released,2012-02-07,0,2,False,,0,,,fr,Eaux profondes,The loneliness of the white fish in the goldfishes’ aquarium.,0.6,/5vZrvrpvWLICUet6sWQY9VHHIJB.jpg,,,,,,
407245,1146817,Dark Road,0.0,0,Released,,0,90,False,,0,,tt1477694,en,Dark Road,"The Devil comes home to Missouri. On a foggy night in the small southern town of Whitewater, Missouri, a local sheriff is called to the roadside scene of a violent execution-style murder. When the victim is identified as a mob-connected thug with local ties, the sheriff must determine if the murder is a message, either to him or for him. However, the gathering storm of violence heading his way leaves no time for second-guessing.",0.6,,,,,,,
474635,1211667,Kim Jung 2,0.0,0,Released,2023-10-13,0,22,False,,0,,,fr,Kim Jung 2,"Following the death of mafia godfather Juanito, his son takes up the torch. In the middle of a group of English tourists, Juanito's path crosses that of Havana, the police chief's daughter. Kim Jong Dos, the son of the Korean dictator, is kidnapped among tourists.",0.0,/sJ8t9qCftxIRQZs158L8PcVkZOQ.jpg,,Comedy,,,French,
176136,47705,Under Your Make-up,6.0,2,Released,2009-04-23,0,90,False,/x6Xaa25QuL25VdzZ81czFZvZFY4.jpg,0,,tt1320100,el,Κάτω Από Το Μακιγιάζ Σου,"Niki, an employee at a cosmetics shop, wants to have a child. Driving back home one night, she runs over a little girl. Although innocent, Niki now has to deal with the ""unbearable"".",0.902,/ry5T4qZNeNPp3PGWEWG2c3k5tn1.jpg,,"Drama, Romance",,Greece,Greek,
990638,636254,When I See You,0.0,0,Released,2018-08-02,0,0,False,,0,,tt8088868,en,When I See You,Two women endure the challenge of unwillingly prioritizing their careers over their relationship with each other.,0.6,/6kcRusZJtZRzlyzfwdA8Zam5Wvj.jpg,,,,,,
762373,1455373,소년일기,0.0,0,Released,,0,0,False,,0,,,ko,소년일기,,0.0,,,,,,,
1104146,448883,An Obedient Pupil,0.0,0,Released,1991-03-25,0,15,False,,0,,,ru,Послушный ученик,"Made after several Indian folk & wisdom tales. It tells about the absurdity to follow philosophical truths to the letter. One needs to follow ones inner truth and weigh it with ones common senses and ones circumstances. He also plays with his audience by in the end having the wise man in the tale plead for the opposite. So what does one think oneself..?. In the art-direction new and various ways of using paper are being explored in Kalishers last 3 animations. You could also say that this particular animation reflects the Russian situation at the time, with all kinds of Western countries advising & influencing the russian govenment how to proceed dismantling the USSR and stepping over to a capitalistic economy ( with ""shock""therapy), which resulted in a 10 years Rulership of all kinds of criminals and the Ultra-capitalistic Putin kleptocracy that's ruling now.",0.6,/xKRIAKL1NVDsgVArKoGfeeSyP4W.jpg,,Animation,,Soviet Union,Russian,
61950,151002,Hapax Legomena III: Critical Mass,5.929,14,Released,1971-12-04,0,26,False,,0,,tt0130585,en,Hapax Legomena III: Critical Mass,"A man and a woman have been living together for six months. After disappearing for two days, the man returns and acts as if nothing has happened, refusing to say where he was.",0.937,,,,,United States of America,English,
198887,543706,The Metropolitan Opera: La Traviata,9.0,2,Released,2018-12-15,0,171,False,/upsFUzR7QmF8dvg3jCW4gA5GEH7.jpg,0,https://www.metopera.org/season/on-demand/opera/?upc=810004200630,,it,The Metropolitan Opera: La Traviata,"Any new Met production of Verdi’s beloved tragedy La Traviata would be noteworthy, but Michael Mayer’s dazzling staging, which premiered during the 2018–19 season, was doubly significant as it marked Yannick Nézet-Séguin’s first performances as the Met’s Jeanette Lerman-Neubauer Music Director. On the podium for this Live in HD transmission, Nézet-Séguin leads a starry ensemble. As Violetta, the consumptive heroine fighting to find true happiness, soprano Diana Damrau delivers yet another compelling portrayal on the Met stage. Tenor Juan Diego Flórez sings his first Verdi role with the company, as Violetta’s ardent yet impetuous lover, Alfredo, and baritone Quinn Kelsey rounds out the principal cast as Giorgio Germont, Alfredo’s implacable father.",1.311,/cXGFmnVaPyVptDP9b8dOGOdGdN4.jpg,,,The Metropolitan Opera,United States of America,Italian,
